(-141.28,-63.04)	(-135.2,-63.04)	(-129.12,-63.04)	(-123.04,-63.04)	(-116.96,-63.04)	(-110.88,-63.04)	(-104.8,-63.04)	(-98.72,-63.04)	(-81.28,-63.04)	(-75.2,-63.04)	(-69.12,-63.04)	(-63.04,-63.04)	(-56.96,-63.04)	(-50.88,-63.04)	(-44.8,-63.04)	(-38.72,-63.04)	(-21.28,-63.04)	(-15.2,-63.04)	(-9.12,-63.04)	(-3.04,-63.04)	(3.04,-63.04)	(9.12,-63.04)	(15.2,-63.04)	(21.28,-63.04)	(38.72,-63.04)	(44.8,-63.04)	(50.88,-63.04)	(56.96,-63.04)	(63.04,-63.04)	(69.12,-63.04)	(75.2,-63.04)	(81.28,-63.04)	(98.72,-63.04)	(104.8,-63.04)	(110.88,-63.04)	(116.96,-63.04)	(123.04,-63.04)	(129.12,-63.04)	(135.2,-63.04)	(141.28,-63.04)	
(-141.28,-56.96)	(-135.2,-56.96)	(-129.12,-56.96)	(-123.04,-56.96)	(-116.96,-56.96)	(-110.88,-56.96)	(-104.8,-56.96)	(-98.72,-56.96)	(-81.28,-56.96)	(-75.2,-56.96)	(-69.12,-56.96)	(-63.04,-56.96)	(-56.96,-56.96)	(-50.88,-56.96)	(-44.8,-56.96)	(-38.72,-56.96)	(-21.28,-56.96)	(-15.2,-56.96)	(-9.12,-56.96)	(-3.04,-56.96)	(3.04,-56.96)	(9.12,-56.96)	(15.2,-56.96)	(21.28,-56.96)	(38.72,-56.96)	(44.8,-56.96)	(50.88,-56.96)	(56.96,-56.96)	(63.04,-56.96)	(69.12,-56.96)	(75.2,-56.96)	(81.28,-56.96)	(98.72,-56.96)	(104.8,-56.96)	(110.88,-56.96)	(116.96,-56.96)	(123.04,-56.96)	(129.12,-56.96)	(135.2,-56.96)	(141.28,-56.96)	
(-141.28,-50.88)	(-135.2,-50.88)	(-129.12,-50.88)	(-123.04,-50.88)	(-116.96,-50.88)	(-110.88,-50.88)	(-104.8,-50.88)	(-98.72,-50.88)	(-81.28,-50.88)	(-75.2,-50.88)	(-69.12,-50.88)	(-63.04,-50.88)	(-56.96,-50.88)	(-50.88,-50.88)	(-44.8,-50.88)	(-38.72,-50.88)	(-21.28,-50.88)	(-15.2,-50.88)	(-9.12,-50.88)	(-3.04,-50.88)	(3.04,-50.88)	(9.12,-50.88)	(15.2,-50.88)	(21.28,-50.88)	(38.72,-50.88)	(44.8,-50.88)	(50.88,-50.88)	(56.96,-50.88)	(63.04,-50.88)	(69.12,-50.88)	(75.2,-50.88)	(81.28,-50.88)	(98.72,-50.88)	(104.8,-50.88)	(110.88,-50.88)	(116.96,-50.88)	(123.04,-50.88)	(129.12,-50.88)	(135.2,-50.88)	(141.28,-50.88)	
(-141.28,-44.8)	(-135.2,-44.8)	(-129.12,-44.8)	(-123.04,-44.8)	(-116.96,-44.8)	(-110.88,-44.8)	(-104.8,-44.8)	(-98.72,-44.8)	(-81.28,-44.8)	(-75.2,-44.8)	(-69.12,-44.8)	(-63.04,-44.8)	(-56.96,-44.8)	(-50.88,-44.8)	(-44.8,-44.8)	(-38.72,-44.8)	(-21.28,-44.8)	(-15.2,-44.8)	(-9.12,-44.8)	(-3.04,-44.8)	(3.04,-44.8)	(9.12,-44.8)	(15.2,-44.8)	(21.28,-44.8)	(38.72,-44.8)	(44.8,-44.8)	(50.88,-44.8)	(56.96,-44.8)	(63.04,-44.8)	(69.12,-44.8)	(75.2,-44.8)	(81.28,-44.8)	(98.72,-44.8)	(104.8,-44.8)	(110.88,-44.8)	(116.96,-44.8)	(123.04,-44.8)	(129.12,-44.8)	(135.2,-44.8)	(141.28,-44.8)	
(-141.28,-38.72)	(-135.2,-38.72)	(-129.12,-38.72)	(-123.04,-38.72)	(-116.96,-38.72)	(-110.88,-38.72)	(-104.8,-38.72)	(-98.72,-38.72)	(-81.28,-38.72)	(-75.2,-38.72)	(-69.12,-38.72)	(-63.04,-38.72)	(-56.96,-38.72)	(-50.88,-38.72)	(-44.8,-38.72)	(-38.72,-38.72)	(-21.28,-38.72)	(-15.2,-38.72)	(-9.12,-38.72)	(-3.04,-38.72)	(3.04,-38.72)	(9.12,-38.72)	(15.2,-38.72)	(21.28,-38.72)	(38.72,-38.72)	(44.8,-38.72)	(50.88,-38.72)	(56.96,-38.72)	(63.04,-38.72)	(69.12,-38.72)	(75.2,-38.72)	(81.28,-38.72)	(98.72,-38.72)	(104.8,-38.72)	(110.88,-38.72)	(116.96,-38.72)	(123.04,-38.72)	(129.12,-38.72)	(135.2,-38.72)	(141.28,-38.72)	
(-141.28,-21.28)	(-135.2,-21.28)	(-129.12,-21.28)	(-123.04,-21.28)	(-116.96,-21.28)	(-110.88,-21.28)	(-104.8,-21.28)	(-98.72,-21.28)	(-81.28,-21.28)	(-75.2,-21.28)	(-69.12,-21.28)	(-63.04,-21.28)	(-56.96,-21.28)	(-50.88,-21.28)	(-44.8,-21.28)	(-38.72,-21.28)	(-21.28,-21.28)	(-15.2,-21.28)	(-9.12,-21.28)	(-3.04,-21.28)	(3.04,-21.28)	(9.12,-21.28)	(15.2,-21.28)	(21.28,-21.28)	(38.72,-21.28)	(44.8,-21.28)	(50.88,-21.28)	(56.96,-21.28)	(63.04,-21.28)	(69.12,-21.28)	(75.2,-21.28)	(81.28,-21.28)	(98.72,-21.28)	(104.8,-21.28)	(110.88,-21.28)	(116.96,-21.28)	(123.04,-21.28)	(129.12,-21.28)	(135.2,-21.28)	(141.28,-21.28)	
(-141.28,-15.2)	(-135.2,-15.2)	(-129.12,-15.2)	(-123.04,-15.2)	(-116.96,-15.2)	(-110.88,-15.2)	(-104.8,-15.2)	(-98.72,-15.2)	(-81.28,-15.2)	(-75.2,-15.2)	(-69.12,-15.2)	(-63.04,-15.2)	(-56.96,-15.2)	(-50.88,-15.2)	(-44.8,-15.2)	(-38.72,-15.2)	(-21.28,-15.2)	(-15.2,-15.2)	(-9.12,-15.2)	(-3.04,-15.2)	(3.04,-15.2)	(9.12,-15.2)	(15.2,-15.2)	(21.28,-15.2)	(38.72,-15.2)	(44.8,-15.2)	(50.88,-15.2)	(56.96,-15.2)	(63.04,-15.2)	(69.12,-15.2)	(75.2,-15.2)	(81.28,-15.2)	(98.72,-15.2)	(104.8,-15.2)	(110.88,-15.2)	(116.96,-15.2)	(123.04,-15.2)	(129.12,-15.2)	(135.2,-15.2)	(141.28,-15.2)	
(-141.28,-9.12)	(-135.2,-9.12)	(-129.12,-9.12)	(-123.04,-9.12)	(-116.96,-9.12)	(-110.88,-9.12)	(-104.8,-9.12)	(-98.72,-9.12)	(-81.28,-9.12)	(-75.2,-9.12)	(-69.12,-9.12)	(-63.04,-9.12)	(-56.96,-9.12)	(-50.88,-9.12)	(-44.8,-9.12)	(-38.72,-9.12)	(-21.28,-9.12)	(-15.2,-9.12)	(-9.12,-9.12)	(-3.04,-9.12)	(3.04,-9.12)	(9.12,-9.12)	(15.2,-9.12)	(21.28,-9.12)	(38.72,-9.12)	(44.8,-9.12)	(50.88,-9.12)	(56.96,-9.12)	(63.04,-9.12)	(69.12,-9.12)	(75.2,-9.12)	(81.28,-9.12)	(98.72,-9.12)	(104.8,-9.12)	(110.88,-9.12)	(116.96,-9.12)	(123.04,-9.12)	(129.12,-9.12)	(135.2,-9.12)	(141.28,-9.12)	
(-141.28,-3.04)	(-135.2,-3.04)	(-129.12,-3.04)	(-123.04,-3.04)	(-116.96,-3.04)	(-110.88,-3.04)	(-104.8,-3.04)	(-98.72,-3.04)	(-81.28,-3.04)	(-75.2,-3.04)	(-69.12,-3.04)	(-63.04,-3.04)	(-56.96,-3.04)	(-50.88,-3.04)	(-44.8,-3.04)	(-38.72,-3.04)	(-21.28,-3.04)	(-15.2,-3.04)	(-9.12,-3.04)	(-3.04,-3.04)	(3.04,-3.04)	(9.12,-3.04)	(15.2,-3.04)	(21.28,-3.04)	(38.72,-3.04)	(44.8,-3.04)	(50.88,-3.04)	(56.96,-3.04)	(63.04,-3.04)	(69.12,-3.04)	(75.2,-3.04)	(81.28,-3.04)	(98.72,-3.04)	(104.8,-3.04)	(110.88,-3.04)	(116.96,-3.04)	(123.04,-3.04)	(129.12,-3.04)	(135.2,-3.04)	(141.28,-3.04)	
(-141.28,3.04)	(-135.2,3.04)	(-129.12,3.04)	(-123.04,3.04)	(-116.96,3.04)	(-110.88,3.04)	(-104.8,3.04)	(-98.72,3.04)	(-81.28,3.04)	(-75.2,3.04)	(-69.12,3.04)	(-63.04,3.04)	(-56.96,3.04)	(-50.88,3.04)	(-44.8,3.04)	(-38.72,3.04)	(-21.28,3.04)	(-15.2,3.04)	(-9.12,3.04)	(-3.04,3.04)	(3.04,3.04)	(9.12,3.04)	(15.2,3.04)	(21.28,3.04)	(38.72,3.04)	(44.8,3.04)	(50.88,3.04)	(56.96,3.04)	(63.04,3.04)	(69.12,3.04)	(75.2,3.04)	(81.28,3.04)	(98.72,3.04)	(104.8,3.04)	(110.88,3.04)	(116.96,3.04)	(123.04,3.04)	(129.12,3.04)	(135.2,3.04)	(141.28,3.04)	
(-141.28,9.12)	(-135.2,9.12)	(-129.12,9.12)	(-123.04,9.12)	(-116.96,9.12)	(-110.88,9.12)	(-104.8,9.12)	(-98.72,9.12)	(-81.28,9.12)	(-75.2,9.12)	(-69.12,9.12)	(-63.04,9.12)	(-56.96,9.12)	(-50.88,9.12)	(-44.8,9.12)	(-38.72,9.12)	(-21.28,9.12)	(-15.2,9.12)	(-9.12,9.12)	(-3.04,9.12)	(3.04,9.12)	(9.12,9.12)	(15.2,9.12)	(21.28,9.12)	(38.72,9.12)	(44.8,9.12)	(50.88,9.12)	(56.96,9.12)	(63.04,9.12)	(69.12,9.12)	(75.2,9.12)	(81.28,9.12)	(98.72,9.12)	(104.8,9.12)	(110.88,9.12)	(116.96,9.12)	(123.04,9.12)	(129.12,9.12)	(135.2,9.12)	(141.28,9.12)	
(-141.28,15.2)	(-135.2,15.2)	(-129.12,15.2)	(-123.04,15.2)	(-116.96,15.2)	(-110.88,15.2)	(-104.8,15.2)	(-98.72,15.2)	(-81.28,15.2)	(-75.2,15.2)	(-69.12,15.2)	(-63.04,15.2)	(-56.96,15.2)	(-50.88,15.2)	(-44.8,15.2)	(-38.72,15.2)	(-21.28,15.2)	(-15.2,15.2)	(-9.12,15.2)	(-3.04,15.2)	(3.04,15.2)	(9.12,15.2)	(15.2,15.2)	(21.28,15.2)	(38.72,15.2)	(44.8,15.2)	(50.88,15.2)	(56.96,15.2)	(63.04,15.2)	(69.12,15.2)	(75.2,15.2)	(81.28,15.2)	(98.72,15.2)	(104.8,15.2)	(110.88,15.2)	(116.96,15.2)	(123.04,15.2)	(129.12,15.2)	(135.2,15.2)	(141.28,15.2)	
(-141.28,21.28)	(-135.2,21.28)	(-129.12,21.28)	(-123.04,21.28)	(-116.96,21.28)	(-110.88,21.28)	(-104.8,21.28)	(-98.72,21.28)	(-81.28,21.28)	(-75.2,21.28)	(-69.12,21.28)	(-63.04,21.28)	(-56.96,21.28)	(-50.88,21.28)	(-44.8,21.28)	(-38.72,21.28)	(-21.28,21.28)	(-15.2,21.28)	(-9.12,21.28)	(-3.04,21.28)	(3.04,21.28)	(9.12,21.28)	(15.2,21.28)	(21.28,21.28)	(38.72,21.28)	(44.8,21.28)	(50.88,21.28)	(56.96,21.28)	(63.04,21.28)	(69.12,21.28)	(75.2,21.28)	(81.28,21.28)	(98.72,21.28)	(104.8,21.28)	(110.88,21.28)	(116.96,21.28)	(123.04,21.28)	(129.12,21.28)	(135.2,21.28)	(141.28,21.28)	
(-141.28,38.72)	(-135.2,38.72)	(-129.12,38.72)	(-123.04,38.72)	(-116.96,38.72)	(-110.88,38.72)	(-104.8,38.72)	(-98.72,38.72)	(-81.28,38.72)	(-75.2,38.72)	(-69.12,38.72)	(-63.04,38.72)	(-56.96,38.72)	(-50.88,38.72)	(-44.8,38.72)	(-38.72,38.72)	(-21.28,38.72)	(-15.2,38.72)	(-9.12,38.72)	(-3.04,38.72)	(3.04,38.72)	(9.12,38.72)	(15.2,38.72)	(21.28,38.72)	(38.72,38.72)	(44.8,38.72)	(50.88,38.72)	(56.96,38.72)	(63.04,38.72)	(69.12,38.72)	(75.2,38.72)	(81.28,38.72)	(98.72,38.72)	(104.8,38.72)	(110.88,38.72)	(116.96,38.72)	(123.04,38.72)	(129.12,38.72)	(135.2,38.72)	(141.28,38.72)	
(-141.28,44.8)	(-135.2,44.8)	(-129.12,44.8)	(-123.04,44.8)	(-116.96,44.8)	(-110.88,44.8)	(-104.8,44.8)	(-98.72,44.8)	(-81.28,44.8)	(-75.2,44.8)	(-69.12,44.8)	(-63.04,44.8)	(-56.96,44.8)	(-50.88,44.8)	(-44.8,44.8)	(-38.72,44.8)	(-21.28,44.8)	(-15.2,44.8)	(-9.12,44.8)	(-3.04,44.8)	(3.04,44.8)	(9.12,44.8)	(15.2,44.8)	(21.28,44.8)	(38.72,44.8)	(44.8,44.8)	(50.88,44.8)	(56.96,44.8)	(63.04,44.8)	(69.12,44.8)	(75.2,44.8)	(81.28,44.8)	(98.72,44.8)	(104.8,44.8)	(110.88,44.8)	(116.96,44.8)	(123.04,44.8)	(129.12,44.8)	(135.2,44.8)	(141.28,44.8)	
(-141.28,50.88)	(-135.2,50.88)	(-129.12,50.88)	(-123.04,50.88)	(-116.96,50.88)	(-110.88,50.88)	(-104.8,50.88)	(-98.72,50.88)	(-81.28,50.88)	(-75.2,50.88)	(-69.12,50.88)	(-63.04,50.88)	(-56.96,50.88)	(-50.88,50.88)	(-44.8,50.88)	(-38.72,50.88)	(-21.28,50.88)	(-15.2,50.88)	(-9.12,50.88)	(-3.04,50.88)	(3.04,50.88)	(9.12,50.88)	(15.2,50.88)	(21.28,50.88)	(38.72,50.88)	(44.8,50.88)	(50.88,50.88)	(56.96,50.88)	(63.04,50.88)	(69.12,50.88)	(75.2,50.88)	(81.28,50.88)	(98.72,50.88)	(104.8,50.88)	(110.88,50.88)	(116.96,50.88)	(123.04,50.88)	(129.12,50.88)	(135.2,50.88)	(141.28,50.88)	
(-141.28,56.96)	(-135.2,56.96)	(-129.12,56.96)	(-123.04,56.96)	(-116.96,56.96)	(-110.88,56.96)	(-104.8,56.96)	(-98.72,56.96)	(-81.28,56.96)	(-75.2,56.96)	(-69.12,56.96)	(-63.04,56.96)	(-56.96,56.96)	(-50.88,56.96)	(-44.8,56.96)	(-38.72,56.96)	(-21.28,56.96)	(-15.2,56.96)	(-9.12,56.96)	(-3.04,56.96)	(3.04,56.96)	(9.12,56.96)	(15.2,56.96)	(21.28,56.96)	(38.72,56.96)	(44.8,56.96)	(50.88,56.96)	(56.96,56.96)	(63.04,56.96)	(69.12,56.96)	(75.2,56.96)	(81.28,56.96)	(98.72,56.96)	(104.8,56.96)	(110.88,56.96)	(116.96,56.96)	(123.04,56.96)	(129.12,56.96)	(135.2,56.96)	(141.28,56.96)	
(-141.28,63.04)	(-135.2,63.04)	(-129.12,63.04)	(-123.04,63.04)	(-116.96,63.04)	(-110.88,63.04)	(-104.8,63.04)	(-98.72,63.04)	(-81.28,63.04)	(-75.2,63.04)	(-69.12,63.04)	(-63.04,63.04)	(-56.96,63.04)	(-50.88,63.04)	(-44.8,63.04)	(-38.72,63.04)	(-21.28,63.04)	(-15.2,63.04)	(-9.12,63.04)	(-3.04,63.04)	(3.04,63.04)	(9.12,63.04)	(15.2,63.04)	(21.28,63.04)	(38.72,63.04)	(44.8,63.04)	(50.88,63.04)	(56.96,63.04)	(63.04,63.04)	(69.12,63.04)	(75.2,63.04)	(81.28,63.04)	(98.72,63.04)	(104.8,63.04)	(110.88,63.04)	(116.96,63.04)	(123.04,63.04)	(129.12,63.04)	(135.2,63.04)	(141.28,63.04)	
(-141.28,69.12)	(-135.2,69.12)	(-129.12,69.12)	(-123.04,69.12)	(-116.96,69.12)	(-110.88,69.12)	(-104.8,69.12)	(-98.72,69.12)	(-81.28,69.12)	(-75.2,69.12)	(-69.12,69.12)	(-63.04,69.12)	(-56.96,69.12)	(-50.88,69.12)	(-44.8,69.12)	(-38.72,69.12)	(-21.28,69.12)	(-15.2,69.12)	(-9.12,69.12)	(-3.04,69.12)	(3.04,69.12)	(9.12,69.12)	(15.2,69.12)	(21.28,69.12)	(38.72,69.12)	(44.8,69.12)	(50.88,69.12)	(56.96,69.12)	(63.04,69.12)	(69.12,69.12)	(75.2,69.12)	(81.28,69.12)	(98.72,69.12)	(104.8,69.12)	(110.88,69.12)	(116.96,69.12)	(123.04,69.12)	(129.12,69.12)	(135.2,69.12)	(141.28,69.12)	
(-141.28,75.2)	(-135.2,75.2)	(-129.12,75.2)	(-123.04,75.2)	(-116.96,75.2)	(-110.88,75.2)	(-104.8,75.2)	(-98.72,75.2)	(-81.28,75.2)	(-75.2,75.2)	(-69.12,75.2)	(-63.04,75.2)	(-56.96,75.2)	(-50.88,75.2)	(-44.8,75.2)	(-38.72,75.2)	(-21.28,75.2)	(-15.2,75.2)	(-9.12,75.2)	(-3.04,75.2)	(3.04,75.2)	(9.12,75.2)	(15.2,75.2)	(21.28,75.2)	(38.72,75.2)	(44.8,75.2)	(50.88,75.2)	(56.96,75.2)	(63.04,75.2)	(69.12,75.2)	(75.2,75.2)	(81.28,75.2)	(98.72,75.2)	(104.8,75.2)	(110.88,75.2)	(116.96,75.2)	(123.04,75.2)	(129.12,75.2)	(135.2,75.2)	(141.28,75.2)	
